column,line,amount,month
LIABILITY,8,125410590,2004-03-01
LIABILITY,9,13892218649,2004-03-01
LIABILITY,10,1186870232,2004-03-01
LIABILITY,11,181457914,2004-03-01
LIABILITY,12,620835016,2004-03-01
LIABILITY,13,691835111,2004-03-01
ASSET,5,1353224686,2004-04-01
ASSET,8,9780087821,2004-04-01
ASSET,9,1485064697,2004-04-01
ASSET,10,1339876659,2004-04-01
LIABILITY,NA,NA,2004-04-01
LIABILITY,NA,NA,2004-04-01
LIABILITY,NA,NA,2004-04-01
LIABILITY,NA,NA,2004-04-01
LIABILITY,NA,NA,2004-04-01
LIABILITY,NA,NA,2004-04-01
LIABILITY,NA,NA,2004-04-01
LIABILITY,NA,NA,2004-04-01
LIABILITY,NA,NA,2004-04-01
ASSET,1,1536710953,2004-05-01
ASSET,2,2213809805,2004-05-01
ASSET,3,2172520157,2004-05-01
ASSET,4,621056451,2004-05-01
ASSET,5,2341281092,2004-05-01
ASSET,6,282568090,2004-05-01
ASSET,7,11022443483,2004-05-01
ASSET,8,9794773968,2004-05-01
ASSET,9,1449244341,2004-05-01
ASSET,10,1336020774,2004-05-01
LIABILITY,1,10846597525,2004-05-01
LIABILITY,2,2538467396,2004-05-01
LIABILITY,3,0,2004-05-01
LIABILITY,4,726081182,2004-05-01
LIABILITY,5,647571731,2004-05-01
LIABILITY,6,160473828,2004-05-01
LIABILITY,7,585560401,2004-05-01
LIABILITY,8,125410591,2004-05-01
LIABILITY,9,14598637570,2004-05-01
LIABILITY,10,1054631951,2004-05-01
LIABILITY,11,181468280,2004-05-01
LIABILITY,12,613693548,2004-05-01
LIABILITY,13,691835111,2004-05-01
ASSET,1,1439396427,2004-06-01
ASSET,2,2203964919,2004-06-01
ASSET,3,2127072804,2004-06-01
ASSET,4,486754047,2004-06-01
ASSET,5,3888474792,2004-06-01
ASSET,6,332328226,2004-06-01
ASSET,7,11574151249,2004-06-01
ASSET,8,9354363360,2004-06-01
ASSET,9,1453916944,2004-06-01
ASSET,10,1141717450,2004-06-01
LIABILITY,1,10978961615,2004-06-01
LIABILITY,2,2394485432,2004-06-01
LIABILITY,3,0,2004-06-01
LIABILITY,4,682852905,2004-06-01
LIABILITY,5,654755144,2004-06-01
LIABILITY,6,168372468,2004-06-01
LIABILITY,7,565367636,2004-06-01
LIABILITY,8,124875178,2004-06-01
LIABILITY,9,16115581640,2004-06-01
LIABILITY,10,1031245608,2004-06-01
LIABILITY,11,181472951,2004-06-01
LIABILITY,12,412334530,2004-06-01
LIABILITY,13,691835111,2004-06-01
ASSET,5,2881718191,2004-07-01
ASSET,9,1449244341,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
LIABILITY,NA,NA,2004-07-01
ASSET,1,1439918504,2004-08-01
ASSET,2,2200010543,2004-08-01
ASSET,3,2160464902,2004-08-01
ASSET,4,449757501,2004-08-01
ASSET,5,548550586,2004-08-01
ASSET,6,128772525,2004-08-01
ASSET,7,6921048246,2004-08-01
ASSET,8,9348729970,2004-08-01
ASSET,9,1834863411,2004-08-01
ASSET,10,6329203389,2004-08-01
LIABILITY,1,11235929490,2004-08-01
LIABILITY,2,2150006457,2004-08-01
LIABILITY,3,0,2004-08-01
LIABILITY,4,690559720,2004-08-01
LIABILITY,5,651075365,2004-08-01
LIABILITY,6,184575997,2004-08-01
LIABILITY,7,565366952,2004-08-01
LIABILITY,8,124875178,2004-08-01
LIABILITY,9,13390179612,2004-08-01
LIABILITY,10,1079669663,2004-08-01
LIABILITY,11,181482351,2004-08-01
LIABILITY,12,415763681,2004-08-01
LIABILITY,13,691835111,2004-08-01
ASSET,5,75187953,2004-09-01
ASSET,8,9348634804,2004-09-01
ASSET,9,2044043941,2004-09-01
ASSET,10,6172873745,2004-09-01
LIABILITY,NA,NA,2004-09-01
LIABILITY,NA,NA,2004-09-01
LIABILITY,NA,NA,2004-09-01
LIABILITY,NA,NA,2004-09-01
LIABILITY,NA,NA,2004-09-01
LIABILITY,NA,NA,2004-09-01
LIABILITY,NA,NA,2004-09-01
LIABILITY,NA,NA,2004-09-01
LIABILITY,NA,NA,2004-09-01
ASSET,5,692231640,2004-10-01
ASSET,9,1986420566,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
