column,line,subline,item,amount,month
ASSET,7,1,Securities held for monetary policy purposes,4331605334,2010-06-01
ASSET,7,2,Other securities of euro area residents denominated in euro,18053803599,2010-06-01
LIABILITY,9,1,Liabilities related to the issuance ECB debt certificates,0,2010-06-01
ASSET,8,NA,General government long term debt denominated in euro,6897715681,2010-06-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,6787107405,2010-06-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),84711537691,2010-06-01
LIABILITY,10,NA,Other liabilities,863389410,2010-06-01
ASSET,9,1,Participating interest in the ECB,435391713,2010-06-01
LIABILITY,11,NA,Provisions,1960868040,2010-06-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591,2010-06-01
LIABILITY,12,NA,Revaluation accounts,3068596941,2010-06-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2010-06-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2010-06-01
LIABILITY,13,1,Capital,111243362,2010-06-01
LIABILITY,13,2,Ordinary reserve,111243362,2010-06-01
LIABILITY,13,3,Extraordinary reserve,72500000,2010-06-01
ASSET,10,1,Tangible and intangible fixed assets,761455696,2010-06-01
ASSET,10,2,Other financial assets,29260593,2010-06-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,509257925,2010-06-01
ASSET,10,3,Sundry,1870934819,2010-06-01
LIABILITY,13,5,Other special reserves,1212087,2010-06-01
ASSET,1,NA,Gold and gold receivables,4785394243,2010-07-01
LIABILITY,1,NA,Banknotes in circulation,21253099700,2010-07-01
ASSET,2,1,Receivables from the IMF,974670551,2010-07-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),2567237397,2010-07-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,89721183,2010-07-01
LIABILITY,2,2,Deposit facility,4917000000,2010-07-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,741187200,2010-07-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,7196745,2010-07-01
ASSET,4,1,Balances with banks security investments and loans,176538,2010-07-01
LIABILITY,4,1,General government,1972749680,2010-07-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2010-07-01
LIABILITY,4,2,Other liabilities,67589028,2010-07-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,769229136,2010-07-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,37412228,2010-07-01
ASSET,5,1,Main refinancing operations,21159000000,2010-07-01
ASSET,5,2,Longer-term refinancing operations,75049700000,2010-07-01
ASSET,5,3,Marginal lending facility,0,2010-07-01
LIABILITY,7,1,Deposits and other liabilities,91807241,2010-07-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,71938980,2010-07-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2010-07-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,942429127,2010-07-01
ASSET,7,1,Securities held for monetary policy purposes,4558586834,2010-07-01
ASSET,7,2,Other securities of euro area residents denominated in euro,18505998131,2010-07-01
LIABILITY,9,1,Liabilities related to the issuance ECB debt certificates,0,2010-07-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,6622328250,2010-07-01
ASSET,8,NA,General government long term debt denominated in euro,6872805297,2010-07-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),90782505808,2010-07-01
LIABILITY,10,NA,Other liabilities,938071991,2010-07-01
LIABILITY,11,NA,Provisions,1960771744,2010-07-01
ASSET,9,1,Participating interest in the ECB,435391713,2010-07-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591,2010-07-01
LIABILITY,12,NA,Revaluation accounts,3074728034,2010-07-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2010-07-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2010-07-01
LIABILITY,13,1,Capital,111243362,2010-07-01
LIABILITY,13,2,Ordinary reserve,111243362,2010-07-01
LIABILITY,13,3,Extraordinary reserve,72500000,2010-07-01
ASSET,10,1,Tangible and intangible fixed assets,761685836,2010-07-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,509257925,2010-07-01
ASSET,10,2,Other financial assets,29260593,2010-07-01
LIABILITY,13,5,Other special reserves,1212087,2010-07-01
ASSET,10,3,Sundry,1642185155,2010-07-01
LIABILITY,1,NA,Banknotes in circulation,21080812900,2010-08-01
ASSET,2,1,Receivables from the IMF,946921745,2010-08-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),2665705795,2010-08-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,100780886,2010-08-01
LIABILITY,2,2,Deposit facility,2688000000,2010-08-01
LIABILITY,2,3,Deposits related to margin calls,4158533,2010-08-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,364036795,2010-08-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2010-08-01
ASSET,4,1,Balances with banks security investments and loans,176556,2010-08-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2010-08-01
LIABILITY,4,1,General government,1033991041,2010-08-01
LIABILITY,4,2,Other liabilities,60886460,2010-08-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,785154795,2010-08-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,25848326,2010-08-01
ASSET,5,1,Main refinancing operations,18457000000,2010-08-01
ASSET,5,2,Longer-term refinancing operations,77489700000,2010-08-01
ASSET,5,3,Marginal lending facility,0,2010-08-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,71690438,2010-08-01
LIABILITY,7,1,Deposits and other liabilities,91807241,2010-08-01
LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0,2010-08-01
LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,942429127,2010-08-01
ASSET,7,1,Securities held for monetary policy purposes,4636178834,2010-08-01
ASSET,7,2,Other securities of euro area residents denominated in euro,18201899943,2010-08-01
LIABILITY,9,1,Liabilities related to the issuance ECB debt certificates,0,2010-08-01
ASSET,8,NA,General government long term debt denominated in euro,6888157077,2010-08-01
LIABILITY,9,2,Net liabilities related to the allocation of euro banknotes within the Eurosystem,5687311375,2010-08-01
LIABILITY,9,3,Net liabilities related to transactions with the ESCB (TARGET),94044329998,2010-08-01
LIABILITY,10,NA,Other liabilities,1021997151,2010-08-01
LIABILITY,11,NA,Provisions,1964996518,2010-08-01
ASSET,9,1,Participating interest in the ECB,435391713,2010-08-01
ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1131910591,2010-08-01
LIABILITY,12,NA,Revaluation accounts,3072772195,2010-08-01
ASSET,9,3,Net claims related to the allocation of euro banknotes within the Eurosystem,0,2010-08-01
ASSET,9,4,Net claims related to transactions with the ESCB (TARGET),0,2010-08-01
LIABILITY,13,1,Capital,111243362,2010-08-01
LIABILITY,13,2,Ordinary reserve,111243362,2010-08-01
LIABILITY,13,3,Extraordinary reserve,72500000,2010-08-01
ASSET,10,1,Tangible and intangible fixed assets,760925163,2010-08-01
ASSET,10,2,Other financial assets,29260593,2010-08-01
LIABILITY,13,4,Special reserve from the revaluation of land and buildings,509257925,2010-08-01
ASSET,10,3,Sundry,1674049838,2010-08-01
LIABILITY,13,5,Other special reserves,1212087,2010-08-01
LIABILITY,1,NA,Banknotes in circulation,21065739100,2010-09-01
ASSET,2,1,Receivables from the IMF,895272110,2010-09-01
LIABILITY,2,1,Current accounts (covering the minimum reserve system),2676378350,2010-09-01
ASSET,2,2,Balances with banks and security investments external loans and other external assets,105410219,2010-09-01
LIABILITY,2,2,Deposit facility,6292000000,2010-09-01
LIABILITY,2,3,Deposits related to margin calls,0,2010-09-01
ASSET,3,NA,Claims on euro area residents denominated in foreign currency,345546477,2010-09-01
LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,0,2010-09-01
ASSET,4,1,Balances with banks security investments and loans,176242,2010-09-01
ASSET,4,2,Claims arising from the credit facility under ERM II,0,2010-09-01
LIABILITY,4,1,General government,2608444871,2010-09-01
LIABILITY,4,2,Other liabilities,57143327,2010-09-01
LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,752696090,2010-09-01
ASSET,5,1,Main refinancing operations,15796500000,2010-09-01
LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,36521393,2010-09-01
ASSET,5,2,Longer-term refinancing operations,73250700000,2010-09-01
ASSET,5,3,Fine-tuning reverse operations,5300000000,2010-09-01
ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,71944016,2010-09-01
LIABILITY,7,1,Deposits and other liabilities,56445,2010-09-01
