accounting_period,column,line,subline,item,amount
2002-07-31,ASSET,10,2,Sundry items,1579675670
2002-07-31,LIABILITY,1,NA,Banknotes in circulation,7465388572
2002-07-31,LIABILITY,2,1,Current accounts (covering the minimum reserve system),1520686467
2002-07-31,LIABILITY,2,2,Deposit facility,350000
2002-07-31,LIABILITY,2,3,Fixed-term deposits,0
2002-07-31,LIABILITY,2,4,Fine-tuning reverse operations,0
2002-07-31,LIABILITY,2,5,Deposits related to margin calls,0
2002-07-31,LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,60039238
2002-07-31,LIABILITY,4,1,General government,421321172
2002-07-31,LIABILITY,4,2,Other liabilities,38307801
2002-07-31,LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,775991783
2002-07-31,LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,332225785
2002-07-31,LIABILITY,7,1,"Deposits, balances and other liabilities",1623406599
2002-07-31,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2002-07-31,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,138077077
2002-07-31,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2002-07-31,LIABILITY,9,2,Liabilities related to TARGET accounts (net),16293028784
2002-07-31,LIABILITY,9,3,Other liabilities within the Eurosystem,933482560
2002-07-31,LIABILITY,10,NA,Other liabilities,973636414
2002-07-31,LIABILITY,11,NA,Provisions,181877568
2002-07-31,LIABILITY,12,NA,Revaluation accounts,167382188
2002-07-31,LIABILITY,13,1,Capital,66746019
2002-07-31,LIABILITY,13,2,Regular reserve,49844397
2002-07-31,LIABILITY,13,3,Special reserves,2075414052
2002-08-31,ASSET,1,NA,Gold and gold receivables,1550619343
2002-08-31,ASSET,2,1,Receivables from the IMF,462388293
2002-08-31,ASSET,2,2,"Balances with banks, security investments, external loans and other external assets",6825782718
2002-08-31,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,4113313906
2002-08-31,ASSET,4,1,"Balances with banks, security investments and loans",38792319
